epi,step,reward,alpha,temporal
1,512,-35510.101859934126,0.9628784656524658,0.8
2,1024,-30488.32740031465,0.8328520059585571,0.8
3,1536,-45758.55612868189,0.720694899559021,0.8
4,2048,-26979.940403715995,0.6364949345588684,0.8
5,2560,-32447.491070680167,0.5771672129631042,0.8
6,3072,-24457.693486618606,0.5372715592384338,0.8
7,3584,-17493.216211656993,0.5099678039550781,0.8
8,4096,-27808.695789981604,0.4889122545719147,0.8
9,4608,-52246.47219314092,0.47481659054756165,0.8
10,5120,-40776.59190382106,0.46496808528900146,0.8
11,5632,-25629.976760726066,0.452080637216568,0.8
12,6144,-39795.439502876754,0.442966490983963,0.8
13,6656,-28476.65642540474,0.4336889386177063,0.8
14,7168,-35154.044194007554,0.425563246011734,0.8
15,7680,-43218.254416508185,0.41804683208465576,0.8
16,8192,-55633.67506776201,0.4123791754245758,0.8
17,8704,-138440.9437191372,0.40758442878723145,0.8
18,9216,-162361.06929529455,0.3985069990158081,0.8
19,9728,-170107.8511045674,0.3910195231437683,0.8
20,10240,-96770.06900293013,0.39144188165664673,0.8
21,10752,-35740.70585826673,0.38947275280952454,0.8
22,11264,-21931.040511189734,0.39280572533607483,0.8
23,11776,-11839.108978666041,0.39808449149131775,0.8
24,12288,-9280.126646804169,0.39999282360076904,0.8
25,12800,-6423.573929346191,0.4010256826877594,0.8
26,13312,-5591.291722771088,0.40226444602012634,0.8
27,13824,-8514.599795915221,0.40119224786758423,0.8
28,14336,-3255.7982074236133,0.3984880745410919,0.8
29,14848,-2674.4921531750724,0.3949097990989685,0.8
30,15360,-5718.733118969332,0.3937508463859558,0.8
31,15872,-11717.516675655124,0.39357051253318787,0.8
32,16384,-3665.7724949167564,0.3919135630130768,0.8
33,16896,-3749.392481037348,0.38812682032585144,0.8
34,17408,-5401.169508338343,0.389628529548645,0.8
35,17920,-2017.9534586560512,0.3858543634414673,0.8
36,18432,-9017.378711794216,0.3864039480686188,0.8
37,18944,-3035.936705922659,0.38355401158332825,0.8
38,19456,-16320.77631552573,0.3818104565143585,0.8
39,19968,-8659.944250667084,0.3835589587688446,0.8
40,20480,-3751.518502849446,0.3829735517501831,0.8
41,20992,-2189.9891417556655,0.38460540771484375,0.8
42,21504,-9816.782707289836,0.38144543766975403,0.8
43,22016,-3367.048874875443,0.38159313797950745,0.8
44,22528,-7517.382564834513,0.3814204931259155,0.8
45,23040,-3496.7676453209083,0.37982937693595886,0.8
46,23552,-5375.088821928203,0.37984368205070496,0.8
47,24064,-10154.589853735795,0.3815692961215973,0.8
48,24576,-2556.132902216568,0.3795403242111206,0.8
49,25088,-5790.607463150306,0.3812396824359894,0.8
50,25600,-3435.9540315667555,0.3807132840156555,0.8
51,26112,-7184.832123154942,0.3806649148464203,0.8
52,26624,-2343.218966029557,0.37906718254089355,0.8
53,27136,-5586.97349052898,0.37706825137138367,0.8
54,27648,-9740.21524466278,0.37993380427360535,0.8
55,28160,-5103.810472215139,0.37948867678642273,0.8
56,28672,-2876.9072391009763,0.3794396221637726,0.8
57,29184,-8229.74630986,0.38024526834487915,0.8
58,29696,-2137.434769744778,0.37861552834510803,0.8
59,30208,-7364.710980136458,0.3786020874977112,0.8
60,30720,-4724.754532224494,0.3786730468273163,0.8
61,31232,-4310.46136237568,0.37784188985824585,0.8
62,31744,-3869.9023851548304,0.3788802921772003,0.8
63,32256,-3553.9117583763505,0.37776660919189453,0.8
64,32768,-4142.0136214633185,0.37741467356681824,0.8
65,33280,-3096.3957997547,0.37921831011772156,0.8
66,33792,-2257.3789984239916,0.3764919936656952,0.8
67,34304,-2483.2329039523147,0.37447404861450195,0.8
68,34816,-2341.5416723573308,0.373414009809494,0.8
69,35328,-2067.512377314094,0.3707963526248932,0.8
70,35840,-4134.863198157982,0.37286853790283203,0.8
71,36352,-4390.9030416818905,0.37225186824798584,0.8
72,36864,-3753.5338975183276,0.36888837814331055,0.8
73,37376,-4377.426362771808,0.3662168085575104,0.8
74,37888,-3141.8876865669176,0.36697709560394287,0.8
75,38400,-6908.169407367222,0.3688679039478302,0.8
76,38912,-3773.876753683287,0.36612963676452637,0.8
77,39424,-4515.577934209419,0.36597946286201477,0.8
78,39936,-7512.245571896858,0.3658355176448822,0.8
79,40448,-6040.047978082992,0.3669411540031433,0.8
80,40960,-4130.598196724249,0.36501920223236084,0.8
81,41472,-2860.944563713671,0.36382386088371277,0.8
82,41984,-3181.424136996774,0.36500000953674316,0.8
83,42496,-2395.388253180013,0.36473944783210754,0.8
84,43008,-5752.213840822967,0.363832026720047,0.8
85,43520,-10553.749556029119,0.3612297773361206,0.8
86,44032,-2740.6436211220516,0.36127665638923645,0.8
87,44544,-7657.597475038301,0.3626287579536438,0.8
88,45056,-2152.9297041790473,0.3618625998497009,0.8
89,45568,-5323.290784642995,0.3621138036251068,0.8
90,46080,-4081.7184441552363,0.3617153465747833,0.8
91,46592,-5750.1986700866555,0.3613099157810211,0.8
92,47104,-2478.718572493898,0.36070388555526733,0.8
93,47616,-2874.17713052285,0.36127960681915283,0.8
94,48128,-8779.175698404151,0.3594263195991516,0.8
95,48640,-2821.634708139451,0.360658198595047,0.8
96,49152,-2263.605648034499,0.3597084581851959,0.8
97,49664,-5329.138990762778,0.3578197956085205,0.8
98,50176,-2450.790411893698,0.3572120666503906,0.8
99,50688,-4888.700908904531,0.35692065954208374,0.8
100,51200,-4266.737215358451,0.35907965898513794,0.8
101,51712,-4430.249829318821,0.3574741780757904,0.8
102,52224,-2617.1567019058875,0.3574203550815582,0.8
103,52736,-4718.665547946289,0.35877954959869385,0.8
104,53248,-3764.895843951435,0.35592979192733765,0.8
105,53760,-5283.998532014573,0.35581082105636597,0.8
106,54272,-4736.059464071662,0.3578985631465912,0.8
107,54784,-5422.151410026793,0.3560536503791809,0.8
108,55296,-5680.231549454598,0.35722616314888,0.8
109,55808,-8573.694863166022,0.3547508120536804,0.8
110,56320,-5177.049527883054,0.35397064685821533,0.8
111,56832,-4183.609538032529,0.35253390669822693,0.8
112,57344,-6048.950161066419,0.3534353971481323,0.8
113,57856,-2740.879295397781,0.35131606459617615,0.8
114,58368,-2656.8869553028526,0.3484415113925934,0.8
115,58880,-7551.570163771513,0.3515447974205017,0.8
116,59392,-5121.939041297166,0.3507370352745056,0.8
117,59904,-6774.332228679015,0.3484662175178528,0.8
118,60416,-6391.136358236449,0.34911635518074036,0.8
119,60928,-2484.9439764132526,0.3479716181755066,0.8
120,61440,-6254.216247260817,0.34895434975624084,0.8
121,61952,-5664.629193263979,0.3494803309440613,0.8
122,62464,-6888.189032865645,0.34968918561935425,0.8
123,62976,-2579.673811192604,0.34846019744873047,0.8
124,63488,-3558.214953330301,0.34668636322021484,0.8
125,64000,-3899.894143368178,0.3466978073120117,0.8
126,64512,-2071.7092468145474,0.34522590041160583,0.8
127,65024,-4079.3222098175506,0.3436179757118225,0.8
128,65536,-4131.469268351021,0.3456273078918457,0.8
129,66048,-7995.974565700209,0.34596914052963257,0.8
130,66560,-5337.434770921997,0.34649658203125,0.8
131,67072,-4624.111476065729,0.34468740224838257,0.8
132,67584,-2102.380297976252,0.3440231680870056,0.8
133,68096,-4163.556330220077,0.3426518440246582,0.8
134,68608,-6199.118703944182,0.34242528676986694,0.8
135,69120,-4314.908870948265,0.34449678659439087,0.8
136,69632,-2162.6805427013364,0.3436566889286041,0.8
137,70144,-2538.7706244862575,0.3421255946159363,0.8
138,70656,-10340.116973762724,0.34375980496406555,0.8
139,71168,-3716.8246063965416,0.3428657352924347,0.8
140,71680,-2222.822755972462,0.34269416332244873,0.8
141,72192,-11154.578796158154,0.3445481061935425,0.8
142,72704,-2919.65969435996,0.3428979516029358,0.8
143,73216,-2087.039047608054,0.3462745249271393,0.8
144,73728,-4912.663437470814,0.34304553270339966,0.8
145,74240,-4053.7491371363194,0.34368112683296204,0.8
146,74752,-14730.445850627033,0.34432491660118103,0.8
147,75264,-3085.9887372688077,0.34302717447280884,0.8
148,75776,-5209.101324068534,0.3431068956851959,0.8
149,76288,-2659.7604902202966,0.3444790244102478,0.8
150,76800,-1491.923804421929,0.3434925377368927,0.8
151,77312,-3175.7360300293367,0.34404054284095764,0.8
152,77824,-3711.1149435824755,0.3448302149772644,0.8
153,78336,-2633.956252406619,0.3434983789920807,0.8
154,78848,-1947.8530417505215,0.34281110763549805,0.8
155,79360,-3750.825022696655,0.3430019021034241,0.8
156,79872,-4440.548535514994,0.34454572200775146,0.8
157,80384,-1680.4722827200876,0.3441396951675415,0.8
158,80896,-5096.371370236747,0.3435632586479187,0.8
159,81408,-3090.653757785563,0.34244322776794434,0.8
160,81920,-2371.8246761292403,0.34178200364112854,0.8
161,82432,-6109.876923389614,0.3432801067829132,0.8
162,82944,-2471.0538280673345,0.3425031900405884,0.8
163,83456,-2684.331481953313,0.34391674399375916,0.8
164,83968,-2841.5134645305916,0.3426600992679596,0.8
165,84480,-2703.071243980432,0.3431296646595001,0.8
166,84992,-4348.862246236488,0.34225043654441833,0.8
167,85504,-3782.4928541613726,0.34312427043914795,0.8
168,86016,-3314.9927115933547,0.3424946069717407,0.8
169,86528,-6956.44143222922,0.3414653241634369,0.8
170,87040,-2425.3952938162984,0.3399537205696106,0.8
171,87552,-5173.853400931332,0.33975279331207275,0.8
172,88064,-2945.366798358411,0.33983394503593445,0.8
173,88576,-5984.254285926523,0.3413849472999573,0.8
174,89088,-7772.451165237061,0.34112751483917236,0.8
175,89600,-3659.586645905728,0.3414336144924164,0.8
176,90112,-4654.141765315316,0.34252503514289856,0.8
177,90624,-2863.350783891858,0.3421889841556549,0.8
178,91136,-4495.549499550538,0.3414396047592163,0.8
179,91648,-4406.316650575493,0.3395296633243561,0.8
180,92160,-3398.9076972679536,0.33883988857269287,0.8
181,92672,-2034.7677611343368,0.3400152921676636,0.8
182,93184,-3768.6173384370645,0.3409428894519806,0.8
183,93696,-9074.27273295907,0.33936601877212524,0.8
184,94208,-2536.0569882822124,0.34022411704063416,0.8
185,94720,-2778.280242594488,0.3395739197731018,0.8
186,95232,-3880.741856888883,0.33885693550109863,0.8
187,95744,-1498.7004268342157,0.3391305208206177,0.8
188,96256,-3772.517286239643,0.33968162536621094,0.8
189,96768,-1935.7138614829848,0.339429646730423,0.8
190,97280,-6646.078294322492,0.33722272515296936,0.8
191,97792,-10614.952745349718,0.3382501006126404,0.8
192,98304,-6194.6456231070715,0.33992353081703186,0.8
193,98816,-4677.577265764602,0.33633238077163696,0.8
194,99328,-5416.383530245577,0.3359289765357971,0.8
195,99840,-5006.075839824029,0.3358335793018341,0.8
196,100352,-3640.612928733835,0.33754628896713257,0.8
197,100864,-4869.148276677696,0.3358767330646515,0.8
198,101376,-9216.89760085713,0.33656054735183716,0.8
199,101888,-1914.1195521148682,0.3347579836845398,0.8
200,102400,-2763.402557104567,0.33631280064582825,0.8
201,102912,-9119.484997842947,0.3359476923942566,0.8
202,103424,-4775.188301202785,0.3353187143802643,0.8
203,103936,-2262.419020600696,0.3382168710231781,0.8
204,104448,-2692.0740781988807,0.336455762386322,0.8
205,104960,-3580.269190079223,0.3361390233039856,0.8
206,105472,-6143.405139117417,0.3353593349456787,0.8
207,105984,-2771.092829033193,0.33453261852264404,0.8
208,106496,-1725.8618476926047,0.3345864713191986,0.8
209,107008,-1556.2394316791738,0.33504968881607056,0.8
210,107520,-9080.630710439991,0.3352907598018646,0.8
211,108032,-2171.1586787045812,0.33596131205558777,0.8
212,108544,-1619.5131251629555,0.3314456045627594,0.8
213,109056,-4869.0987058131695,0.3347378671169281,0.8
214,109568,-2011.6034674191703,0.3316879868507385,0.8
215,110080,-8927.938705179515,0.33217453956604004,0.8
216,110592,-6396.70500103725,0.3314580023288727,0.8
